field_fraction_fphi,min_eta_for_galaxy_alignment_A_lt_0p25
0.0,
0.0625,
0.125,
0.1875,
0.25,
0.3125,0.995
0.375,0.925
0.4375,0.88
0.5,0.84
0.5625,0.8150000000000001
0.625,0.79
0.6875,0.77
0.75,0.755
0.8125,0.745
0.875,0.73
0.9375,0.72
1.0,0.715
1.0625,0.705
1.125,0.7000000000000001
1.1875,0.6950000000000001
1.25,0.685
1.3125,0.685
1.375,0.68
1.4375,0.675
1.5,0.67
1.5625,0.665
1.625,0.665
1.6875,0.66
1.75,0.66
1.8125,0.655
1.875,0.655
1.9375,0.65
2.0,0.65
2.0625,0.645
2.125,0.645
2.1875,0.645
2.25,0.64
2.3125,0.64
2.375,0.64
2.4375,0.64
2.5,0.635
2.5625,0.635
2.625,0.635
2.6875,0.635
2.75,0.63
2.8125,0.63
2.875,0.63
2.9375,0.63
3.0,0.63
3.0625,0.625
3.125,0.625
3.1875,0.625
3.25,0.625
3.3125,0.625
3.375,0.625
3.4375,0.62
3.5,0.62
3.5625,0.62
3.625,0.62
3.6875,0.62
3.75,0.62
3.8125,0.62
3.875,0.62
3.9375,0.62
4.0,0.615
4.0625,0.615
4.125,0.615
4.1875,0.615
4.25,0.615
4.3125,0.615
4.375,0.615
4.4375,0.615
4.5,0.615
4.5625,0.615
4.625,0.615
4.6875,0.61
4.75,0.61
4.8125,0.61
4.875,0.61
4.9375,0.61
5.0,0.61
5.0625,0.61
5.125,0.61
5.1875,0.61
5.25,0.61
5.3125,0.61
5.375,0.61
5.4375,0.61
5.5,0.61
5.5625,0.61
5.625,0.61
5.6875,0.61
5.75,0.605
5.8125,0.605
5.875,0.605
5.9375,0.605
6.0,0.605
6.0625,0.605
6.125,0.605
6.1875,0.605
6.25,0.605
6.3125,0.605
6.375,0.605
6.4375,0.605
6.5,0.605
6.5625,0.605
6.625,0.605
6.6875,0.605
6.75,0.605
6.8125,0.605
6.875,0.605
6.9375,0.605
7.0,0.605
7.0625,0.605
7.125,0.605
7.1875,0.605
7.25,0.605
7.3125,0.605
7.375,0.6
7.4375,0.6
7.5,0.6
7.5625,0.6
7.625,0.6
7.6875,0.6
7.75,0.6
7.8125,0.6
7.875,0.6
7.9375,0.6
8.0,0.6
8.0625,0.6
8.125,0.6
8.1875,0.6
8.25,0.6
8.3125,0.6
8.375,0.6
8.4375,0.6
8.5,0.6
8.5625,0.6
8.625,0.6
8.6875,0.6
8.75,0.6
8.8125,0.6
8.875,0.6
8.9375,0.6
9.0,0.6
9.0625,0.6
9.125,0.6
9.1875,0.6
9.25,0.6
9.3125,0.6
9.375,0.6
9.4375,0.6
9.5,0.6
9.5625,0.6
9.625,0.6
9.6875,0.6
9.75,0.6
9.8125,0.6
9.875,0.6
9.9375,0.6
10.0,0.6
