rc_kpc,outer_chi2_exact_btfr,predicted_theta_E_arcsec_exact_btfr
0.3,1142.9434138138515,0.7798420367922194
0.43050847457627117,1030.8403571519248,0.7508664812973326
0.5610169491525423,926.4032036141532,0.7227810520396291
0.6915254237288135,829.3586381383,0.6959438210727964
0.8220338983050848,739.430505237084,0.6706955063770521
0.952542372881356,656.3409417680388,0.6473155812885389
1.083050847457627,579.8114863972708,0.6259861043821155
1.2135593220338983,509.5641533965714,0.6067754121008985
1.3440677966101695,445.32245961538183,0.5896453442391671
1.4745762711864407,386.8123948745426,0.574475792910099
1.605084745762712,333.76332757944937,0.5610957316948618
1.735593220338983,285.9088389868836,0.5493115098121127
1.8661016949152542,242.9874812244629,0.5389278383639843
1.9966101694915255,204.74345580103764,0.5297607637967577
2.1271186440677963,170.92721091330532,0.5216444075052449
2.2576271186440677,141.2959573093525,0.5144331527913861
2.3881355932203387,115.6141037833836,0.5080013103352634
2.5186440677966098,93.6536145261587,0.5022416468332498
2.6491525423728812,75.19429152999007,0.49706310656639924
2.7796610169491522,60.02398604092805,0.49238838737148954
2.9101694915254237,47.93874366624256,0.4881522364352262
3.0406779661016947,38.74288819067537,0.4842992675439622
3.1711864406779657,32.24904944269177,0.4807823863627671
3.301694915254237,28.27814069792991,0.477561459226359
3.432203389830508,26.65929112895054,0.4746021688752468
3.5627118644067792,27.22973872694413,0.47187510585687875
3.6932203389830507,29.834688950972975,0.4693547856434691
3.8237288135593217,34.327144121653305,0.46701933052743533
3.9542372881355927,40.567708285742015,0.4648496929506572
4.084745762711864,48.424371951119454,0.4628292742747826
4.215254237288136,57.77228074158739,0.4609435515355171
4.345762711864406,68.49349165925668,0.45917978230106765
4.476271186440678,80.47672027872188,0.45752674582267006
4.606779661016949,93.61708183950837,0.45597452720509507
4.73728813559322,107.81582885760001,0.4545143372917391
4.867796610169491,122.98008754779991,0.45313836077111697
4.998305084745763,139.02259503955057,0.4518396788082942
5.128813559322033,155.8614390818028,0.4506119464372981
5.259322033898305,173.41980166876692,0.4494496329005702
5.389830508474576,191.62570777834105,0.44834771158013276
5.520338983050848,210.41178019850486,0.44730165111842635
5.650847457627118,229.7150012233202,0.44630735674965516
5.78135593220339,249.47648182840146,0.4453611196514402
5.911864406779661,269.641238784532,0.44445957308734624
6.042372881355932,290.15798003611343,0.44359965431762105
6.172881355932203,310.97889855681024,0.44277857142478094
6.303389830508475,332.05947479660205,0.44199377382320176
6.433898305084745,353.3582877508915,0.44124292710659896
6.564406779661017,374.8368346119202,0.4405238919207567
6.694915254237288,396.4593589040636,0.43983470351950643
6.825423728813559,418.1926869562621,0.43917355444713946
6.95593220338983,440.0060725257325,0.4385387792328811
7.0864406779661016,461.87104935593425,0.43792884082348876
7.216949152542372,483.7612914276185,0.4373423185300042
7.347457627118644,505.65248064361674,0.4367778972967727
7.477966101694915,527.5221816750504,0.43623435812788286
7.608474576271186,549.3497236880596,0.43571056952906806
7.738983050847457,571.116088665308,0.4352054798424969
7.8694915254237285,592.8038060348127,0.43471811036837815
8.0,614.3968533195377,0.43424754918136216
