m_eV,z,lambda_Jeans_phys_pc,lambda_deBroglie_pc_v100kms
0.0001,0,8.977202798214268e-05,1.2045823530458147e-15
0.0001,10,1.4862659293634222e-05,1.2045823530458147e-15
0.0001,100,2.8177340871105393e-06,1.2045823530458147e-15
0.0001,1100,4.6967835568361416e-07,1.2045823530458147e-15
0.0001,3000,2.214070979781227e-07,1.2045823530458147e-15
0.0003,0,5.182990452118869e-05,4.015274510152716e-16
0.0003,10,8.580960344053413e-06,4.015274510152716e-16
0.0003,100,1.6268195336980543e-06,4.015274510152716e-16
0.0003,1100,2.711689250864754e-07,4.015274510152716e-16
0.0003,3000,1.27829447618163e-07,4.015274510152716e-16
0.001,0,2.8388407859594046e-05,1.2045823530458147e-16
0.001,10,4.699985545495344e-06,1.2045823530458147e-16
0.001,100,8.9104575559646e-07,1.2045823530458147e-16
0.001,1100,1.4852533716429114e-07,1.2045823530458147e-16
0.001,3000,7.00150719738929e-08,1.2045823530458147e-16
