R_kpc,rho_Msun_per_kpc3,Sigma_Msun_per_kpc2,M2D_Msun,alpha_rad
0.1,29571100.169172484,278855844.08299303,8762946.837131843,1.677370949194834e-08
0.25025125628140704,29399383.975539036,278045022.3548266,54798637.54586211,4.191528607520668e-08
0.4005025125628141,29085579.96551557,276557138.7774904,139977750.4335373,6.69010147104652e-08
0.5507537688442211,28638736.959550828,274424536.6990942,263676746.67849457,9.164173313810952e-08
0.7010050251256281,28071242.038481705,271691983.13496333,425013413.7263427,1.160540887496609e-07
0.8512562814070351,27398000.09943406,268414171.0272273,622877033.9877578,1.4006219524974165e-07
1.0015075376884424,26635524.387675837,264652886.4952726,855964152.2514267,1.6359886814512023e-07
1.1517587939698493,25801032.86026972,260474105.52396333,1122817452.6917772,1.866064099871167e-07
1.3020100502512564,24911629.601744846,255945252.55347753,1421865346.7110553,2.0903695641873475e-07
1.4522613065326635,23983626.23956673,251132796.7116651,1751460188.673067,2.308524265574533e-07
1.6025125628140704,23032031.57095947,246100294.25398955,2109913494.5314357,2.5202414329350057e-07
1.7527638190954775,22070213.52663551,240906920.9190664,2495527051.9496055,2.7253220019887117e-07
1.9030150753768846,21109719.311807532,235606484.25332236,2906619306.716175,2.9236465321028847e-07
2.0532663316582913,20160228.17429149,230246867.82862726,3341546838.426422,3.115166094075209e-07
2.2035175879396984,19229606.252282303,224869837.06716815,3798721071.8689766,3.299892747253032e-07
2.3537688442211055,18324032.931371357,219511127.86102322,4276620603.0937033,3.4778900976857723e-07
2.5040201005025127,17448171.378890187,214200740.8298162,4773799658.898444,3.649264299816021e-07
2.65427135678392,16605360.851184418,208963372.22067285,5288893271.6962805,3.8141557456459094e-07
2.804522613065327,15797813.774407212,203818923.93787393,5820619757.523467,3.9727315847224276e-07
2.9547738693467336,15026805.684192177,198783047.60364676,6367781051.721686,4.125179138447989e-07
3.1050251256281407,14292850.441411454,193867689.3240072,6929261400.249932,4.271700212759105e-07
3.255276381909548,13595856.560122926,189081612.08900845,7504024836.8129835,4.4125062718741886e-07
3.405527638190955,12935263.00604193,184430881.11804116,8091111805.710872,4.5478144094723677e-07
3.555778894472362,12310154.561810467,179919303.95252877,8689635223.173744,4.677844039034606e-07
3.706030150753769,11719357.959973011,175548821.8812573,9298776209.227276,4.802814219102532e-07
3.856281407035176,11161520.609425815,171319852.62879533,9917779669.37921,4.922941529283494e-07
4.006532663316583,10635174.02284872,167231586.43740943,10545949860.995638,5.038438416859833e-07
4.15678391959799,10138784.103089502,163282239.00126487,11182646042.783018,5.149511940248734e-07
4.307035175879396,9670790.351630019,159469265.4041384,11827278276.539158,5.256362843141535e-07
4.457286432160804,9229635.884851344,155789539.45972675,12479303427.332964,5.359184901117207e-07
4.607537688442211,8813789.927409368,152239502.80548507,13138221390.533106,5.458164490339463e-07
4.757788944723618,8421764.225370679,148815287.86781096,13803571560.694084,5.553480335281845e-07
4.908040201005025,8052124.6026306655,145512818.47840846,14474929547.385147,5.645303399099683e-07
5.0582914572864315,7703498.682594797,142327891.53457767,15151904135.888788,5.733796886204147e-07
5.208542713567839,7374580.617964704,139256242.6972803,15834134485.692106,5.819116331780718e-07
5.358793969849246,7064133.516158704,136293598.73383895,16521287556.346886,5.901409757464212e-07
5.509045226130653,6770990.115774557,133435718.7510692,17213055748.179928,5.980817876190398e-07
5.65929648241206,6494052.158776442,130678426.23683229,17909154744.17377,6.057474332457992e-07
5.809547738693467,6232288.811413713,128017633.53625856,18609321538.858524,6.131505966925012e-07
5.959798994974874,5984734.411741652,125449360.13316415,19313312640.06385,6.203033096500113e-07
6.110050251256281,5750485.760561453,122969745.8856525,20020902429.72761,6.272169802937294e-07
6.260301507537688,5528699.123364045,120575060.17478098,20731881670.53133,6.339024224460139e-07
6.410552763819095,5318587.071433899,118261707.76325817,21446056145.848816,6.403698846182099e-07
6.560804020100502,5119415.258895244,116026232.02408946,22163245421.291096,6.466290786097261e-07
6.711055276381909,4930499.207674405,113865316.08369243,22883281716.96284,6.526892074231238e-07
6.861306532663316,4751201.152857401,111775782.32725495,23606008880.381386,6.585589923197189e-07
7.011557788944724,4580926.98570388,109754590.63329841,24331281450.827065,6.642466988926069e-07
7.16180904522613,4419123.319783205,107798835.63712962,25058963806.67771,6.697601620756428e-07
7.312060301507538,4265274.696629514,105905743.26700655,25788929388.022556,6.75106810039726e-07
7.4623115577889445,4118900.940404675,104072666.75059323,26521059987.544987,6.802936869533912e-07
7.612562814070351,3979554.6658553933,102297082.25106989,27255245103.308456,6.85327474604548e-07
7.762814070351759,3846818.939987164,100576584.26077563,27991381347.673912,6.902145128953533e-07
7.913065326633165,3720305.0950605324,98908880.85436368,28729371907.122337,6.94960819233564e-07
8.063316582914574,3599650.6885108156,97291788.88220342,29469126048.25387,6.995721068520598e-07
8.21356783919598,3484517.6040161136,95723229.16737096,30210558665.688007,7.040538020941482e-07
8.363819095477387,3374590.2870433545,94201221.75537033,30953589868.0011,7.084110607062722e-07
8.514070351758793,3269574.1076729815,92723881.25416552,31698144598.209835,7.126487831822525e-07
8.6643216080402,3169193.843248868,91289412.29271816,32444152285.646717,7.16771629204512e-07
8.814572864321608,3073192.273350328,89896105.11863591,33191546526.37794,7.207840312281549e-07
8.964824120603014,2981328.8796822308,88542331.34942134,33940264789.588665,7.246902072534754e-07
9.115075376884421,2893378.6436845395,87226539.88690975,34690248147.608635,7.284941728316756e-07
9.265326633165829,2809130.93494101,85947253.00057863,35441441027.47398,7.321997523473643e-07
9.415577889447237,2728388.483792896,84703062.58231872,36193790982.122345,7.358105896199362e-07
9.565829145728642,2650966.43191839,83492626.57283242,36947248479.499245,7.393301578642635e-07
9.71608040201005,2576691.455007478,82314665.55794145,37701766708.01702,7.427617690493448e-07
9.866331658291458,2505400.952034374,81167959.53164661,38457301396.95409,7.461085826916913e-07
10.016582914572863,2436942.2959978427,80051344.82169986,39213810650.51484,7.493736141183493e-07
10.16683417085427,2371172.1413579867,78963711.17265658,39971254794.38968,7.525597422325747e-07
10.317085427135678,2307955.7837425885,77903998.98081896,40729596233.7617,7.556697168133166e-07
10.467336683417086,2247166.5678243614,76871196.6751078,41488799321.80399,7.587061653778682e-07
10.617587939698492,2188685.3395809582,75864338.23768063,42248830237.79803,7.616715996352842e-07
10.7678391959799,2132399.93944152,74882500.85800724,43009656874.083435,7.645684215564923e-07
10.918090452261307,2078204.7330967681,73924802.714105,43771248731.11954,7.673989290854151e-07
11.068341708542713,2026000.177004248,72990400.87469503,44533576820.00414,7.701653215138891e-07
11.21859296482412,1975692.41585695,72078489.316157,45296613571.85271,7.728697045417184e-07
11.368844221105528,1927192.9095027377,71188297.04831709,46060332753.49372,7.755140950418328e-07
11.519095477386934,1880418.0870046641,70319086.34329134,46824709388.983635,7.781004255492184e-07
11.669346733668341,1835289.0257193025,69470151.06181474,47589719686.48789,7.806305484910803e-07
11.819597989949749,1791731.1534425393,68640815.07171056,48355340970.11321,7.831062401745483e-07
11.969849246231156,1749673.9718308407,67830430.75338477,49121551616.31235,7.855292045471674e-07
12.120100502512562,1709050.7994518012,67038377.587466866,49888330994.513885,7.879010767444076e-07
12.27035175879397,1669798.5329516798,66264060.8199539,50655659411.65947,7.902234264374914e-07
12.420603015075377,1631857.4249505324,65506910.20044876,51423518060.3569,7.924977609939554e-07
12.570854271356783,1595170.8773883118,64766378.78931254,52191888970.38178,7.947255284625447e-07
12.72110552763819,1559685.2491486983,64041941.82977454,52960754963.282486,7.969081203932704e-07
12.871356783919598,1525349.6768822344,63333095.681259684,53730099609.862785,7.990468745027475e-07
13.021608040201004,1492115.908037202,62639356.81040114,54499907190.335075,8.011430771942651e-07
13.171859296482411,1459938.145186326,61960260.836405955,55270162656.953575,8.031979659414155e-07
13.322110552763819,1428772.9008103579,61295361.62763217,56040851598.95179,8.052127315435332e-07
13.472361809045227,1398578.861766449,60644230.44641815,56811960209.62282,8.071885202606556e-07
13.622613065326632,1369316.7627305435,60006455.13937751,57583475255.393234,8.091264358352104e-07
13.77286432160804,1340949.26795917,59381639.37053713,58355384046.753235,8.110275414071706e-07
13.923115577889448,1313440.8607675345,58769401.89485141,59127674410.91591,8.12892861328979e-07
14.073366834170853,1286757.7401680225,58169375.86977207,59900334666.0886,8.147233828861365e-07
14.22361809045226,1260867.724156549,57581208.202692136,60673353597.24793,8.165200579289768e-07
14.373869346733668,1235740.1591739154,57004558.93221298,61446720433.317986,8.18283804420782e-07
14.524120603015076,1211345.835305796,56439100.64130644,62220424825.6594,8.200155079070852e-07
14.674371859296482,1187656.906818457,55884517.90056003,62994456827.78288,8.217160229106786e-07
14.82462311557789,1164646.8176580318,55340506.73980236,63768806876.20794,8.233861742565767e-07
14.974874371859297,1142290.2315694294,54806774.14650792,64543465772.39268,8.250267583309062e-07
15.125125628140703,1120562.96651687,54283037.5894769,65318424665.666435,8.26638544277452e-07
15.27537688442211,1099441.933111917,53769024.56637608,66093675037.10145,8.282222751353547e-07
15.425628140703518,1078905.076776795,53264472.17381164,66869208684.26445,8.297786689212379e-07
15.575879396984924,1058931.3233909614,52769126.69868397,67645017706.79348,8.313084196588436e-07
15.726130653266331,1039500.5281874791,52282743.22965005,68421094492.74858,8.328121983590644e-07
15.876381909547739,1020593.4276828351,51805085.28758814,69197431705.68893,8.342906539530842e-07
16.026633165829146,1002191.5944396035,51335924.47402578,69974022272.43227,8.357444141811773e-07
16.176884422110554,984277.3944758732,50875040.13655366,70750859371.45502,8.371740864395608e-07
16.32713567839196,966833.9471487409,50422219.050305456,71527936421.89528,8.385802585875514e-07
16.47738693467337,949845.0873515258,49977255.114638336,72305247073.12198,8.399634997171417e-07
16.627638190954777,933295.3298757501,49539949.06419925,73082785194.83757,8.41324360886992e-07
16.777889447236184,917169.83579945,49110108.19361007,73860544867.68248,8.426633758227098e-07
16.928140703517588,901454.3807731036,48687546.095049374,74638520374.31227,8.439810615851789e-07
17.078391959798996,886135.325083433,48272082.40805023,75416706190.92036,8.452779192086052e-07
17.228643216080403,871199.5853836511,47863542.58087345,76195096979.18048,8.465544343098388e-07
17.37889447236181,856634.6079863843,47461757.642851666,76973687578.58545,8.478110776704549e-07
17.52914572864322,842428.3436226225,47066563.98713516,77752472999.15945,8.490483057929739e-07
17.679396984924626,828569.2235766195,46677803.16330248,78531448414.52315,8.502665614325439e-07
17.82964824120603,815046.1371127529,46295321.679329194,79310609155.29214,8.514662741053143e-07
17.979899497487438,801848.4101160056,45918970.812437326,80089950702.78995,8.526478605746711e-07
18.130150753768845,788965.7848729624,45548606.42837441,80869468683.05864,8.538117253164352e-07
18.280402010050253,776388.4009250576,45184088.808696695,81649158861.15097,8.549582609640691e-07
18.43065326633166,764106.7769303295,44825282.48565464,82429017135.68854,8.560878487348667e-07
18.580904522613068,752111.7934741012,44472056.08430115,83209039533.67188,8.572008588380637e-07
18.731155778894475,740394.6767729027,44124282.17146418,83989222205.52902,8.582976508657413e-07
18.88140703517588,728946.9832195421,43781837.11124458,84769561420.3901,8.593785741673581e-07
19.031658291457287,717760.5847205975,43444600.92671924,85550053561.57593,8.604439682086915e-07
19.181909547738694,706827.6547807149,43112457.16754642,86330695122.28928,8.614941629159366e-07
19.332160804020102,696140.6552909913,42785292.783186965,87111482701.49892,8.625294790056614e-07
19.48241206030151,685692.3239814315,42462998.0014704,87892413000.00583,8.63550228301289e-07
19.632663316582917,675475.6624999733,42145466.21224937,88673482816.68294,8.645567140367375e-07
19.782914572864325,665483.9250829194,41832593.855899714,89454689044.8789,8.655492311478079e-07
19.93316582914573,655710.6077837945,41524280.31643628,90236028668.97842,8.665280665519015e-07
20.083417085427136,646149.438229683,41220427.81902669,91017498761.11058,8.674934994165879e-07
20.233668341708544,636794.3658759964,40920941.33169677,91799096477.99829,8.684458014175436e-07
20.38391959798995,627639.5527323921,40625728.4710321,92580819057.94188,8.693852369863432e-07
20.53417085427136,618679.3645342152,40334699.41169046,93362663817.92986,8.703120635485564e-07
20.684422110552767,609908.3623353809,40047766.799549155,94144628150.87114,8.712265317525916e-07
20.834673366834174,601321.2945000548,39764845.66832076,94926709522.94266,8.72128885689699e-07
20.984924623115578,592913.0890718346,39485853.35947893,95708905471.04665,8.73019363105521e-07
21.135175879396986,584678.8465003981,39210709.445344195,96491213600.37276,8.738981956035697e-07
21.285427135678393,576613.8327067618,38939335.65518736,97273631582.05962,8.747656088409813e-07
21.4356783919598,568713.4724693911,38671655.80421489,98056157150.95145,8.756218227168851e-07
21.58592964824121,560973.3431144423,38407595.725307964,98838788103.44513,8.764670515537075e-07
21.736180904522616,553389.1684943778,38147083.203393094,99621522295.42366,8.773015042717196e-07
21.88643216080402,545956.8132401007,37890047.91232799,100404357640.27173,8.781253845571109e-07
22.036683417085428,538672.2772726098,37636421.35419254,101187292106.97014,8.789388910238726e-07
22.186934673366835,531531.6905609621,37386136.80087997,101970323718.26472,8.797422173697462e-07
22.337185929648243,524531.3081140817,37139129.23788833,102753450548.90715,8.805355525264959e-07
22.48743718592965,517667.50519465265,36895335.31021727,103536670723.96399,8.813190808047332e-07
22.637688442211058,510936.7727439878,36654693.270280056,104319982417.19087,8.820929820335298e-07
22.787939698492465,504335.71300738485,36417142.9277444,105103383849.46922,8.828574316950293e-07
22.93819095477387,497861.03535005933,36182625.60122065,105886873287.30238,8.836126010542655e-07
23.088442211055277,491509.5522542836,35951084.07171895,106670449041.36888,8.843586572843845e-07
23.238693467336685,485278.1754888819,35722462.53780146,107454109465.12993,8.850957635874587e-07
23.388944723618092,479163.9124427008,35496706.57235841,108237852953.48941,8.85824079311069e-07
23.5391959798995,473163.86261413514,35273763.080941,109021677941.5033,8.865437600608282e-07
23.689447236180907,467275.2142492102,35053580.261586405,109805582903.1371,8.872549578090082e-07
23.839698492462315,461495.2411211233,34836107.56607372,110589566350.06891,8.879578209994261e-07
23.98994974874372,455821.2994445223,34621295.66255241,111373626830.53609,8.886524946487375e-07
24.140201005025126,450250.82491815754,34409096.39948724,112157762928.22395,8.893391204442789e-07
24.290452261306534,444781.32988987345,34199462.77086669,112941973261.1946,8.900178368385964e-07
24.44070351758794,439410.4006382234,33992348.8826237,113726256480.8541,8.906887791407878e-07
24.59095477386935,434135.6947652898,33787709.92022045,114510611270.9567,8.913520796047834e-07
24.741206030150757,428954.93869556667,33585502.117350675,115295036346.64418,8.92007867514683e-07
24.891457286432164,423865.9252760328,33385682.72571532,116079530453.51933,8.926562692672639e-07
25.041708542713568,418866.51147278625,33188209.985829152,116864092366.75174,8.932974084517665e-07
25.191959798994976,413954.6161598501,32993043.09881793,117648720890.21495,8.939314059270615e-07
25.342211055276383,409128.2179959824,32800142.19916752,118433414855.65344,8.945583798962991e-07
25.49246231155779,404385.35338552715,32609468.328387935,119218173121.87836,8.951784459791335e-07
25.6427135678392,399724.1145195501,32420983.40955704,120002994573.99083,8.957917172816127e-07
25.792964824120606,395142.6474936811,32234650.22271004,120787878122.63193,8.96398304463826e-07
25.94321608040201,390639.15049927053,32050432.381042518,121572822703.25781,8.969983158053848e-07
26.093467336683418,386211.87208462635,31868294.30789596,122357827275.43965,8.975918572688221e-07
26.243718592964825,381859.10948326584,31688201.21449628,123142890822.1867,8.981790325609863e-07
26.393969849246233,377579.2070062551,31510119.0784169,123928012349.29224,8.987599431924999e-07
26.54422110552764,373370.55449586216,31334014.62273921,124713190884.7011,8.993346885353568e-07
26.694472361809048,369231.58583787497,31159855.295884572,125498425477.89804,8.999033658787242e-07
26.844723618090455,365160.7775300677,30987609.252092686,126283715199.31648,9.004660704830143e-07
26.99497487437186,361156.6473044183,30817245.332522772,127069059139.76599,9.010228956322839e-07
27.145226130653267,357217.75280079053,30648733.04695435,127854456409.87914,9.015739326850302e-07
27.295477386934675,353342.69028990937,30482042.556066014,128639906139.57549,9.021192711234307e-07
27.445728643216082,349530.0934435525,30317144.654270962,129425407477.54327,9.026589986010858e-07
27.59597989949749,345778.63214998407,30154010.753089152,130210959590.73764,9.031932009893193e-07
27.746231155778897,342087.0113727464,29992612.865036894,130996561663.8945,9.037219624220817e-07
27.896482412060305,338453.9700510122,29832923.588015076,131782212899.06035,9.042453653395114e-07
28.04673366834171,334878.2800397856,29674916.0901785,132567912515.13622,9.047634905301927e-07
28.196984924623116,331358.74508831464,29518564.095269013,133353659747.43663,9.052764171721633e-07
28.347236180904524,327894.1998551578,29363841.868396204,134139453847.26161,9.057842228727084e-07
28.49748743718593,324483.50895841327,29210724.202249795,134925294081.48251,9.062869837069865e-07
28.64773869346734,321125.5660596903,29059186.403728727,135711179732.14035,9.067847742555233e-07
28.797989949748747,317819.29298046534,28909204.280972324,136497110096.0565,9.072776676406161e-07
28.948241206030154,314563.638849525,28760754.1307796,137283084484.45538,9.077657355616812e-07
29.098492462311558,311357.5792802588,28613812.72640342,138069102222.59848,9.082490483295822e-07
29.248743718592966,308200.1155766157,28468357.30570642,138855162649.42966,9.087276748999743e-07
29.398994974874373,305090.2739665957,28324365.55966657,139641265117.23074,9.092016829056922e-07
29.54924623115578,302027.1048621919,28181815.62122024,140427408991.28796,9.096711386882204e-07
29.69949748743719,299009.6821447511,28040686.054431457,141213593649.56793,9.101361073282704e-07
29.849748743718596,296037.10247476306,27900955.843976367,141999818482.40323,9.105966526754951e-07
30.0,293108.484625131,27762604.38493219,142786082892.18765,9.110528373773722e-07
